ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
buk	9	30	2	1	0	4	SVO	_
bul	43	68	6	8	8	6	SVO	SVO
bvr	8	24	2	0	2	0	SVO	SOV
bvz	13	2	1	1	3	0	SOV	SOV
bwq	36	12	2	8	2	2	SOV	_
bwu	9	25	0	2	4	4	SVO	SVO
bxr	46	2	10	17	0	1	SOV	_
byr	28	6	8	7	1	1	SOV	_
byx	0	20	0	0	3	0	SVO	_
bzd	25	8	3	9	3	2	SOV	SOV
bzh	11	26	3	1	0	4	SVO	_
bzj	6	48	8	0	1	3	SVO	_
caa	12	27	4	2	5	10	SVO	_
cab	4	6	7	3	24	8	VSO	VSO
cac	5	14	4	3	5	12	SVO	VOS
caf	19	2	1	4	1	0	SOV	_
cak	32	108	5	13	16	14	SVO	_
cao	5	4	17	13	0	2	OSV	No dominant order
cap	51	2	8	2	2	1	SOV	SOV
car	22	6	5	21	5	3	SOV	SOV
cas	5	9	4	4	5	1	SVO	SVO
cat	72	151	26	19	6	8	SVO	SVO
cav	9	3	2	2	2	1	SOV	No dominant order
cax	7	28	1	6	17	4	SVO	_
cbc	3	2	3	0	0	2	SOV	_
cbi	27	1	7	3	1	2	SOV	SOV
cbm	1	17	1	3	3	3	SVO	_
cbr	14	3	4	1	4	1	SOV	SOV
cbs	22	10	9	9	4	5	SOV	_
cbt	2	0	0	0	0	0	SOV	_
cbu	3	1	0	0	0	0	SOV	SOV
cbv	5	1	9	1	0	1	OSV	_
cce	26	52	5	2	3	3	SVO	_
cco	2	15	0	3	7	5	SVO	VSO
ceb	14	145	13	23	102	31	SVO	VSO
ces	69	117	32	17	40	18	SVO	SVO
cfm	41	12	12	3	1	3	SOV	_
cha	7	59	15	5	9	14	SVO	VSO
chd	5	9	0	0	0	1	SVO	_
che	41	18	5	13	4	3	SOV	SOV
chf	7	32	5	4	5	5	SVO	SVO
chq	11	25	3	6	11	3	SVO	VSO
chr	10	21	4	4	5	5	SVO	No dominant order
chu	21	57	12	7	23	24	SVO	_
chz	7	23	3	5	13	3	SVO	_
cjo	1	6	0	1	5	1	SVO	_
cjp	55	13	4	8	3	0	SOV	_
cjv	44	13	8	6	1	1	SOV	_
cke	3	13	4	3	1	2	SVO	_
ckf	8	17	1	3	3	3	SVO	VOS
cki	8	20	2	1	0	2	SVO	_
