ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
mvp	3	15	3	3	13	5	SVO	_
mwm	13	29	2	2	2	4	SVO	_
mwq	29	8	13	11	1	1	SOV	_
mwv	0	6	2	2	8	8	VSO	_
mww	7	60	6	0	4	2	SVO	_
mxb	2	8	0	5	22	7	VSO	_
mxp	7	13	4	1	5	2	SVO	_
mxq	6	24	12	3	3	3	SVO	_
mxt	4	23	1	1	8	2	SVO	_
mya	36	14	16	11	2	4	SOV	SOV
myb	15	46	6	1	3	4	SVO	SVO
myk	20	9	1	8	6	2	SOV	_
myu	3	1	1	3	1	0	SOV	SOV
myv	33	100	12	5	3	2	SVO	SVO
myx	12	55	5	2	2	6	SVO	_
myy	3	0	2	14	0	1	OVS	_
mzh	5	51	7	2	7	2	SVO	SVO
mzk	12	37	2	2	6	2	SVO	_
mzl	33	7	11	8	5	3	SOV	_
mzm	3	32	9	0	1	7	SVO	SVO
mzw	16	42	4	1	2	5	SVO	_
nab	5	1	0	2	0	0	SOV	SOV
naf	51	20	10	8	5	3	SOV	SOV
nah	10	43	7	1	4	5	SVO	_
nak	3	26	5	0	3	0	SVO	SVO
naq	114	24	20	10	5	7	SOV	SOV
nas	57	15	7	5	5	1	SOV	SOV
nbl	2	29	0	2	4	5	SVO	SVO
nca	43	12	3	4	2	2	SOV	_
nch	13	42	7	1	4	2	SVO	_
ncj	2	34	8	2	6	5	SVO	SVO
